scenario_id,scenario_name,trial_id,seed,detected,mttd_sec,mitigated,mttm_sec,msr_percent,applied_loc_pref,applied_community,rib_verified,rollback_verified,failure_code,action_desc,min_trust_score
S2,Synthetic Sub-Prefix Hijack (/25),T16,2722,True,0.05,True,0.1,100.0,0,no-export,True,False,,Quarantine (LocalPref 0 + no-export),0.3
S2,Synthetic Sub-Prefix Hijack (/25),T17,2753,True,0.05,True,0.1,100.0,0,no-export,True,False,,Quarantine (LocalPref 0 + no-export),0.32
S2,Synthetic Sub-Prefix Hijack (/25),T18,2784,True,0.05,True,0.1,100.0,0,no-export,True,False,,Quarantine (LocalPref 0 + no-export),0.29
S2,Synthetic Sub-Prefix Hijack (/25),T19,2815,True,0.05,True,0.1,100.0,0,no-export,True,False,,Quarantine (LocalPref 0 + no-export),0.3
S2,Synthetic Sub-Prefix Hijack (/25),T20,2846,True,0.05,True,0.1,100.0,0,no-export,True,False,,Quarantine (LocalPref 0 + no-export),0.29
S3,Synthetic Route Flapping Burst,T01,2357,False,,True,0.804,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.78
S3,Synthetic Route Flapping Burst,T02,2388,False,,True,0.798,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.77
S3,Synthetic Route Flapping Burst,T03,2419,False,,True,1.417,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.76
S3,Synthetic Route Flapping Burst,T04,2450,False,,True,1.413,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.77
S3,Synthetic Route Flapping Burst,T05,2481,False,,True,0.61,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.77
S3,Synthetic Route Flapping Burst,T06,2512,False,,True,0.785,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.78
S3,Synthetic Route Flapping Burst,T07,2543,False,,True,0.789,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.76
S3,Synthetic Route Flapping Burst,T08,2574,False,,True,0.781,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.78
S3,Synthetic Route Flapping Burst,T09,2605,False,,True,0.595,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.77
S3,Synthetic Route Flapping Burst,T10,2636,False,,True,1.215,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.77
S3,Synthetic Route Flapping Burst,T11,2667,False,,True,1.187,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.76
