variant_id,variant_name,scenario_id,trial_id,seed,detected,mttd_sec,mitigated,mttm_sec,msr_percent,applied_loc_pref,applied_community,rib_verified,rollback_verified,failure_code,action_desc,min_trust_score
A0,Standard BGP,S2,T09,2179,False,,False,,0.0,100,,False,True,,None (Propagated),1.0
A1,BGP + Heuristics,S2,T09,2179,True,0.05,True,0.1,100.0,0,no-export,True,False,,Quarantine (LocalPref 0),0.0
A2,BGP + ML Only,S2,T09,2179,True,0.05,True,0.1,100.0,0,no-export,True,False,,Quarantine (LocalPref 0 + no-export),0.0
A3,BGP + ML + Behavioral Trust,S2,T09,2179,True,0.05,True,0.1,100.0,0,no-export,True,False,,Quarantine (LocalPref 0 + no-export),0.31
A4,Full Proposed System,S2,T09,2179,True,0.05,True,0.1,100.0,0,no-export,True,False,,Quarantine (LocalPref 0 + no-export),0.31
A0,Standard BGP,S2,T10,2196,False,,False,,0.0,100,,False,True,,None (Propagated),1.0
A1,BGP + Heuristics,S2,T10,2196,True,0.05,True,0.1,100.0,0,no-export,True,False,,Quarantine (LocalPref 0),0.0
A2,BGP + ML Only,S2,T10,2196,True,0.05,True,0.1,100.0,0,no-export,True,False,,Quarantine (LocalPref 0 + no-export),0.0
A3,BGP + ML + Behavioral Trust,S2,T10,2196,True,0.05,True,0.1,100.0,0,no-export,True,False,,Quarantine (LocalPref 0 + no-export),0.29
A4,Full Proposed System,S2,T10,2196,True,0.05,True,0.1,100.0,0,no-export,True,False,,Quarantine (LocalPref 0 + no-export),0.29
A0,Standard BGP,S3,T01,2043,False,,False,,50.0,100,,False,True,,None (Propagated),1.0
A1,BGP + Heuristics,S3,T01,2043,True,0.05,True,0.1,100.0,80,,True,False,,Deprioritize (LocalPref 80),0.0
A2,BGP + ML Only,S3,T01,2043,False,,False,,0.0,100,,False,True,F2 (Classifier Misclassification),None (Propagated),1.0
A3,BGP + ML + Behavioral Trust,S3,T01,2043,False,,True,0.201,0.0,80,,True,False,F2 (Classifier Misclassification),Soft Deprioritization (LocalPref 80),0.76
A4,Full Proposed System,S3,T01,2043,False,,True,0.801,0.0,80,,True,False,F2 (Classifier Misclassification),Soft Deprioritization (LocalPref 80),0.76
A0,Standard BGP,S3,T02,2060,False,,False,,50.0,100,,False,True,,None (Propagated),1.0
A1,BGP + Heuristics,S3,T02,2060,True,0.05,True,0.1,100.0,80,,True,False,,Deprioritize (LocalPref 80),0.0
A2,BGP + ML Only,S3,T02,2060,False,,False,,0.0,100,,False,True,F2 (Classifier Misclassification),None (Propagated),1.0
A3,BGP + ML + Behavioral Trust,S3,T02,2060,False,,True,0.1,0.0,80,,True,False,F2 (Classifier Misclassification),Soft Deprioritization (LocalPref 80),0.77
A4,Full Proposed System,S3,T02,2060,False,,True,0.602,0.0,80,,True,False,F2 (Classifier Misclassification),Soft Deprioritization (LocalPref 80),0.77
A0,Standard BGP,S3,T03,2077,False,,False,,50.0,100,,False,True,,None (Propagated),1.0
A1,BGP + Heuristics,S3,T03,2077,True,0.05,True,0.1,100.0,80,,True,False,,Deprioritize (LocalPref 80),0.0
A2,BGP + ML Only,S3,T03,2077,False,,False,,0.0,100,,False,True,F2 (Classifier Misclassification),None (Propagated),1.0
A3,BGP + ML + Behavioral Trust,S3,T03,2077,False,,True,0.1,0.0,80,,True,False,F2 (Classifier Misclassification),Soft Deprioritization (LocalPref 80),0.76
A4,Full Proposed System,S3,T03,2077,False,,True,0.585,0.0,80,,True,False,F2 (Classifier Misclassification),Soft Deprioritization (LocalPref 80),0.76
